,Date,Time,Town / Village,Occupation of reporter (where known),County,Brief Description of sighting
11,08-Jul-01,22:15,Cricklewood,,London,"The object was like a star, but was moving."
12,14-Jul-01,09:08,Holmpton,,Yorkshire,"One object, a circle. Beige in colour. Was flying from North to South West."
13,15-Jul-01,16:55,Hellingly,Pilot,East Sussex,"One large object, the size of an eagle. It looked like three circles joined together. Was dark brown and black. Quite fast."
14,16-Jul-01,10:55,Burton Joyce,,Nottinghamshire,One round shaped object. Was silver and reflecting the sun. It was high up and bobbed about.
15,18-Jul-01,21:15,Milford Haven,,South West Wales,"Eight star sized objects, with lights that were red, white, blue and yellow. Six were following two."
16,18-Jul-01,,Exmouth,,Devon,"The object was cream coloured. Was travelling at an altitude of about 8,000 feet."
17,18-Jul-01,23:55,Barrhead/Glasgow,,Scotland,One spherical shaped object. Was orange and yellow. Was stationary for a short amount of time.
18,21-Jul-01,21:25,Countesthorpe,,Leicestershire,A UFO was flying North East.
19,21-Jul-01,22:31,Letchworth,,Hertfordshire,"A sequence of bright lights. Were moving from right to left, then back in a random fashion."
20,21-Jul-01,20:50,Milton Keynes,,Buckinghamshire,Kite shaped object. Black in colour. Headed West and often changed it's speed.
21,23-Jul-01,18:15,Harrow,,London,"One, small, balloon shaped object. Brown in colour. Was moving up and down and sideways."
22,23-Jul-01,11:00,Perton,,South Staffordshire,"A dark, possibly circular object, as it looked like a rocket at first glance. Part of the object was metallic and glistened."
23,25-Jul-01,14:10,Folkstone,,Kent,One circular object with flashing bright lights. Was at a high altitude.
24,27-Jul-01,19:00,Liverpool,,Merseyside,One dome/bell shaped object. It had two red lights either side. Other colours were seen on and off. Stationary.
25,30-Jul-01,23:10,Nottingham,,Nottinghamshire,"One circular object, orangey/red. Was very bright. Was moving in a regular figure of eight pattern."
26,30-Jul-01,23:30,Bath,,Somerset,One oval shaped object. It had rotating lights. Was moving to the West.
27,01-Aug-01,08:20,Ilkley,,West Yorkshire,"One, silver, fountain pen shaped object, described as an aircraft without wings."
28,04-Aug-01,00:40,Port Talbot,,Wales,"Two large, shining golf ball like objects. They were moving in and out of the clouds."
29,04-Aug-01,00:40,Rickmansworth,,Hertfordshire,"One large, circular object and a number of small fragments, size of 10p pieces. White and a glow of red and blue. Very bright."
30,04-Aug-01,01:40,Bushey,,Hertfordshire,Strange formation of lights flying overhead.
31,04-Aug-01,02:30,Glasgow,,Scotland,"Big bright, white light. A smaller white light was then moving towards and away from the bigger white light."
32,05-Aug-01,23:40,Chipping Norton,,Oxfordshire,"Several objects. Different colours - purple, green and white. Very bright. Moving very fast to the South."
33,05-Aug-01,02:00,Barnstable,,Devon,"Two, 18 inch across, round shaped, spinning objects. White and very bright."
34,06-Aug-01,16:30,Ashton-Under-Lyne,,Greater Manchester,"The witness saw something that they could not identify, but it was not a plane."
35,06-Aug-01,03:08,Berwick,,Northumbria,"Two, stationary cone shaped objects. One below each other. They were extremely bright."
36,11-Aug-01,00:30,Tipton,,West Midlands,"Bright round light that moved in steps. It reduced in size, and then when smaller, shot off to the left and disappeared."
37,14-Aug-01,11:05,Buxton,,Derbyshire,"One, size unknown. Circular ring, horizontal with tail, hanging below with a black ball at the bottom."
38,16-Aug-01,21:30,Newport,,Gwent,"One large, round shaped object. White and very bright. Moved fast upwards in the sky."
39,17-Aug-01,21:45,Abbotskerswell,,Devon,The object looked like a circle within a circle.
40,18-Aug-01,02:10,Paisley,,Scotland,A red flash fell from the sky. It was falling to the ground in a wide spiral.
41,19-Aug-01,22:45,Shoeburyness,,Essex,"One large, square - grid like object. Grey and orange and very bright. Was static and then moved North."
42,20-Aug-01,10:00,,,,"One 15 inch across, circular shaped object. Metallic grey. The witness got up close and touched it."
43,21-Aug-01,01:20,Berwick,,Northumbria,"Four cone shaped objects, which were brightly lit. They were in a line, and moving North East."
44,22-Aug-01,22:56,Newport Pagnall,,Buckinghamshire,"In between two to three stars, there was a something/star which exploded in to a large mass."
45,27-Aug-01,21:00,Nantwich,,Cheshire,Eight to nine smokeless flares. Two were falling - parallel.
46,27-Aug-01,19:35,Poynton,,Cheshire,Circular object with a depression in the middle. Was a grey/metallic colour. Very bright. It was emitting smoke.
47,28-Aug-01,02:00,"Cherry Valley, nr Belfast",,Northern Ireland,"One large, white, circular light, moving at high speed with no sound, at about 500 feet."
48,01-Sep-01,16:30,Wallington,,Surrey,One object that looked a bit like an inverted U. Moving due West.
49,02-Sep-01,01:00,Royston,,Hertfordshire,One rectangular/triangle shaped object. It had a white light that was pulsating. Was of average brightness. Moving North East.
50,03-Sep-01,12:00,Gosport,,Hampshire,"A twinkling object in the air, in close proximity to a plane."
51,07-Sep-01,19:45,Broadstairs,,Kent,Red ball of fire. It was low on the horizon and was moving to the East.
0,09-Sep-01,04:35,Sheffield,,South Yorkshire,"The object was very large and about the size of a helicopter, which made no sound. Two consecutive nights"
1,10-Sep-01,23:20,Sheffield,,South Yorkshire,"The object was very large and about the size of a helicopter, which made no sound. Two consecutive nights"
2,11-Sep-01,00:10,Hailsham,,East Sussex,"A very large, round object, followed by another object, which was green and conical in shape. Both were travelling fast."
3,15-Sep-01,05:00,Swindon,,Wiltshire,"One white/very bright object. Moving vertically, then remained stationary, with occasional bursts of light. Seen for over an hour."
4,16-Sep-01,04:45,Market Drayton,,Shropshire,"One mushroom/lampshade shaped object, about six-eight feet. Was white with a very bright base. Very fast."
5,17-Sep-01,06:00,Aslockton,,Nottinghamshire,"There was a light through the witness's window, which seemed to be quite a distance away, and moving slowly."
6,21-Sep-01,04:00,Ashford,,Kent,The ship/craft moved towards Ashford and then hovered over Ashford for some time. The craft was solid.
7,21-Sep-01,05:30,Ashford,,Kent,"One triangular shaped object. The size of a 747, maybe bigger. It moved N-Easterly, then became stationary."
8,03-Oct-01,20:40,Plymouth,,Devon,"Exactly fifty objects, that looked like points of light. Very bright. They were in line formation, and moving from East to West."
9,07-Oct-01,03:16,Woodbridge,,Cambridgeshire,A spaceship was seen that had lights on the top and bottom of it.
10,11-Oct-01,15:20,,,,Mentioned that the planets are in danger from different things going on in our solar system.
11,21-Oct-01,18:15,Torbay,,Devon,The object was larger than Venus but smaller than the moon. Was very white. Was wiggling from side to side.
12,23-Oct-01,23:40,Dorking,,Surrey,"A silent helicopter (resembling a sea stallion), shone a light on the witness. There was a low humming noise."
13,27-Oct-01,20:30,Great Yarmouth,,Norfolk,Bright white light with an orange light at the rear.
14,31-Oct-01,04:00,Wisbech,,Cambridgeshire,"Well defined blue object, which was fat at both ends, but slim in the middle."
15,01-Nov-01,18:45,Wirral,,,A vast number of lights flashing in the sky. The lights then became still.
16,05-Nov-01,18:30,South Croydon,,Surrey,"Three to four objects that were smaller than a large aircraft. Were triangular in shape, white and very bright."
17,05-Nov-01,00:30,Hamilton,Police Officer,Lanarkshire,"The object looked like half of a saucer, had red and green lights, but mostly white. Also appeared to have rings round it."
18,09-Nov-01,18:00,Welshpool,,Powys,One triangular object with lights.
19,11-Nov-01,08:40,Flying over Seaford,Captain of aircraft,E Sussex,One red object sighted by the Captain in flight.
20,15-Nov-01,05:59,Armthorpe,Police Officer,South Yorkshire,"Tennis ball size and shape, with an orange centre and a black inner line around the circle. Two bright green flare trails from the rear."
21,19-Nov-01,17:10,,,,Small star shaped object.
